Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Date extracted,Family,Genus,Species
Haloragis exalata subsp. exalata,"Wingless Raspwort, Square Raspwort",Vulnerable,-,Yes,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Haloragaceae,Haloragis,exalata
Haloragis exalata subsp. velutina,Tall Velvet Sea-berry,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Haloragaceae,Haloragis,exalata
Haloragis eyreana,Prickly Raspwort,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Haloragaceae,Haloragis,eyreana
Haloragis platycarpa,Broad-fruited Haloragis,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Haloragaceae,Haloragis,platycarpa
Haloragodendron lucasii,Hal,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Haloragaceae,Haloragodendron,lucasii
Harrisoniascincus zia,Rainforest Cool-skink,Vulnerable,-,Yes,-,Yes,-,-,-,-,Animalia,Reptilia,2026-Feb-06,Scincidae,Harrisoniascincus,zia
Heleioporus australiacus australiacus,"Giant Burrowing Frog, Eastern Owl Frog",Endangered,-,Yes,-,-,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Limnodynastidae,Heleioporus,australiacus
Heleioporus australiacus flavopunctatus,"Southern Owl Frog, Southern Giant Burrowing Frog",Endangered,-,Yes,-,-,-,-,Yes,-,Animalia,Amphibia,2026-Feb-06,Limnodynastidae,Heleioporus,australiacus
Helichrysum calvertianum,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Asteraceae,Helichrysum,calvertianum
Helicteres macrothrix,-,Endangered,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Helicteres,macrothrix
Hemiandra gardneri,Red Snakebush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Lamiaceae,Hemiandra,gardneri
Hemiandra rutilans,"Sargents Snakebush, Colourful Snakebush",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Lamiaceae,Hemiandra,rutilans
Hemiaspis damelii,Grey Snake,Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Reptilia,2026-Feb-06,Elapidae,Hemiaspis,damelii
Hemibelideus lemuroides,Lemuroid Ringtail Possum,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Mammalia,2026-Feb-06,Pseudocheiridae,Hemibelideus,lemuroides
Hemigenia ramosissima,Branched Hemigenia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Lamiaceae,Hemigenia,ramosissima
